"","Model","pD","DIC","niter","maxRhat"
"1","mod1",23.338002609913,935.562004608958,2e+05,1.0050192599084
"2","mod10",21.8707643646459,749.827190709798,2e+05,1.00631195735781
"3","mod1b",17.6419535844908,927.992538686517,2e+05,1.00326379860177
"4","mod2",33.0885698107847,764.197859021747,2e+05,1.00411870464871
"5","mod2b",28.3497164895581,764.791464705333,2e+05,1.00450459126718
"6","mod3",32.4097732938493,763.519968814602,2e+05,1.01081576307029
"7","mod3b",29.0807617684036,764.233500563211,2e+05,1.00650877822956
"8","mod4",22.7515716389259,751.997337760739,2e+05,1.02234520198884
"9","mod5",18.5985557202537,743.155567490651,2e+05,1.14527514219562
"10","mod5b",18.660652556828,742.351487021735,2e+05,1.00786935990714
"11","mod5b_NR",19.2821802053659,427.915468867254,2e+05,1.02229745627286
"12","mod5c",17.4524509755705,740.998421710585,2e+05,1.03391706523681
"13","mod5d",18.9827500677591,743.285630211242,2e+05,1.12408390597664
"14","mod6b",24.4315489611867,754.473661882865,2e+05,1.00714194139733
"15","mod7",14.7135696650535,780.28076011703,2e+05,1.13685814309565
"16","mod8",14.5550695381768,779.480999617697,2e+05,1.13384519953695
"17","mod9",14.3958864923041,780.009229882295,2e+05,1.15500737065761
"18","viana_mod1",954.213453326149,1501.69474925991,2e+05,1.01284199878904
