"","Model","pD","DIC","niter","maxRhat"
"1","mod1",23.5721117702327,1385.01592064092,2e+05,1.01509768510542
"2","mod10",27.589487832545,734.945643360768,2e+05,1.02055412024792
"3","mod1b",20.0780054165906,1381.96160163428,2e+05,1.00373450352362
"4","mod2",31.878234822385,796.220155052327,2e+05,1.09515007391562
"5","mod2b",36.3245877726678,807.533011737844,2e+05,1.00364849596903
"6","mod3",32.617865135773,796.439159309537,2e+05,1.1038596773782
"7","mod3b",34.5191110859386,805.256429001254,2e+05,1.00432842900526
"8","mod4",59.2757462974403,780.770619724928,2e+05,1.0436299486768
"9","mod5",30.499673355076,734.176827983485,2e+05,1.20903870923794
"10","mod5b",55.0622755933012,773.956475055417,2e+05,1.01210938848837
"11","mod5c",32.00634693836,739.693657792512,2e+05,1.0350673716213
"12","mod5d",37.8968891525798,748.125269615151,2e+05,1.02630234554852
"13","mod6b",27.8137205244885,735.463174578775,2e+05,1.04009980663905
"14","mod7",28.0291185236196,735.822193588456,2e+05,1.02091040299606
"15","mod8",28.0012061079476,735.334030500502,2e+05,1.02218360785719
"16","mod9",29.1009527224709,736.356165049709,2e+05,1.02871157957866
"17","viana_mod1",925.779855689387,1522.23587118946,2e+05,1.01047629340958
