,AID,Sex,Birth.Year,Age,Sample.Year,Trap.Date,Cap.Type,Titer,CDV.INT,B.INT,DT
571,G178_2013-09-05,M,2010,3,2013,9/5/2013,MGT,6,N,0,9/5/2013
572,G179_2011-10-14,M,2010,1,2011,10/14/2011,MGT,4,N,0,10/14/2011
573,G180_2012-06-18,M,2009,3,2012,6/18/2012,RES,4,N,0,6/18/2012
574,G183_2012-08-15,F,2011,1,2012,8/15/2012,MGT,4,N,0,8/15/2012
575,G187_2012-09-21,M,2009,3,2012,9/21/2012,MGT,4,N,0,9/21/2012
576,G188_2012-10-01,M,2010,2,2012,10/1/2012,MGT,4,N,0,10/1/2012
577,G189_2013-05-25,M,2012,1,2013,5/25/2013,MGT,4,N,0,5/25/2013
578,G190_2013-05-25,F,2012,1,2013,5/25/2013,MGT,4,N,0,5/25/2013
579,G191_2013-05-31,M,2010,3,2013,5/31/2013,RES,8,N,0,5/31/2013
580,G192_2013-06-08,M,2011,2,2013,6/8/2013,MGT,4,N,0,6/8/2013
581,G193_2013-10-14,M,2011,2,2013,10/14/2013,MGT,4,N,0,10/14/2013
582,G198_2014-09-30,M,2013,1,2014,9/30/2014,MGT,4,N,0,9/30/2014
583,G199_2014-09-30,F,2013,1,2014,9/30/2014,MGT,4,N,0,9/30/2014
584,G200_2014-11-03,M,2013,1,2014,11/3/2014,MGT,4,N,0,11/3/2014
585,141_2006-08-12,M,1986,20,2006,8/12/2006,mgt,8,N,0,8/12/2006
586,389_2006-06-18,M,1995,11,2006,6/18/2006,res,1024,P,1,6/18/2006
587,633_2009-11-03,M,2003,6,2009,11/3/2009,mgt,8,N,0,11/3/2009
588,481_2009-07-23,F,2002,7,2009,7/23/2009,res,8,N,0,7/23/2009
589,547_2009-08-20,M,2003,6,2009,8/20/2009,res,6,N,0,8/20/2009
590,621_2009-08-26,M,1992,17,2009,8/26/2009,res,16,N,0,8/26/2009
591,526_2009-10-02,M,2003,6,2009,10/2/2009,res,1024,P,1,10/2/2009
592,679_2009-10-04,M,2004,5,2009,10/4/2009,res,4,N,0,10/4/2009
593,616_2009-07-29,F,1993,16,2009,7/29/2009,res,24,P,1,7/29/2009
594,618_2009-08-13,M,2006,3,2009,8/13/2009,res,8,N,0,8/13/2009
595,619_2009-08-20,M,2006,3,2009,8/20/2009,res,1024,P,1,8/20/2009
596,669_2009-10-02,M,2007,2,2009,10/2/2009,res,8,N,0,10/2/2009
597,627_2009-09-23,F,2002,7,2009,9/23/2009,res,8,N,0,9/23/2009
598,227_2009-10-21,M,1992,17,2009,10/21/2009,res,6,N,0,10/21/2009
599,201031_2010-09-20,F,1994,16,2010,9/20/2010,mgt,4,N,0,9/20/2010
600,G166_2010-10-05,M,2010,0.5,2010,10/5/2010,mgt,8,N,0,10/5/2010
601,201041_2010-10-11,M,2004,6,2010,10/11/2010,mgt,768,P,1,10/11/2010
602,201108_2011-07-18,F,2003,8,2011,7/18/2011,mgt,512,P,1,7/18/2011
603,546_2011-09-09,M,2001,10,2011,9/9/2011,mgt,3,N,0,9/9/2011
604,G141_2011-10-17,M,2005,6,2011,10/17/2011,mgt,7,N,0,10/17/2011
605,691_2011-10-01,M,2010,1,2011,10/1/2011,mgt,7,N,0,10/1/2011
606,691_2012-06-22,M,2010,2,2012,6/22/2012,mgt,15,N,0,6/22/2012
607,G131_2012-09-16,F,2007,5,2012,9/16/2012,mgt,15,N,0,9/16/2012
608,735_2012-09-17,F,2012,0.5,2012,9/17/2012,mgt,24,P,1,9/17/2012
609,706_2012-06-25,F,2003,9,2012,6/25/2012,res,7,N,0,6/25/2012
