Cornell.Accession.Number,Cornell.ID,WolfID,Date.Capture.Death,Year.data.reflects,Sex,Pelt.Color,Recollared,Pack,Location.of.first.capture,Northern.Range.Pack,YNP,Previously.Vaccinated,CDV_simplified
141523-11,30,SW147M,2/3/2010,2009,MALE,BLACK,ADULT,SILVER,YNP,1,1,0,96
141523-11,9,586M,1/3/2011,2010,MALE,GRAY,OLD ADULT,AGATE CREEK,YNP,1,1,0,192
141523-11,10,641M,1/3/2011,2010,MALE,GRAY,ADULT,AGATE CREEK,YNP,1,1,0,64
66418-08,17,042F,1/17/1999,1998,FEMALE,BLACK,YES,DRUID PEAK,CANADA,1,1,1,384
66418-08,47,105F,1/17/1999,1998,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,72,163M,1/17/1999,1998,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
65544-08,17,642F,2/15/2008,2007,FEMALE,BLACK,NO,AGATE CREEK,YNP,1,1,0,8
65544-08,18,643F,2/15/2008,2007,FEMALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,8
65544-08,19,644F,2/15/2008,2007,FEMALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,8
82744-12,63,822F,2/4/2012,2011,Female,Black,Yearling,MOLLIE'S,YNP,0,1,0,8
82744-12,64,823F,2/4/2012,2011,Female,Gray,Pup,MOLLIE'S,YNP,0,1,0,16
82744-12,65,824M,2/4/2012,2011,Male,Gray,Pup,MOLLIE'S,YNP,0,1,0,8
NA,NA,024F,8/6/1996,1996,FEMALE,BLACK,YES,SODA BUTTE,YNP,1,1,0,6
66418-08,165,373M,1/14/2004,2003,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,166,374M,1/14/2004,2003,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,24
66418-08,167,375F,1/14/2004,2003,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,45,103F,10/17/1997,1997,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
72438-14,1,759F,2/2/2013,NA,FEMALE,GRAY,ADULT,755M GROUP,,1,1,0,6
66418-08,176,453M,10/2/2004,2004,MALE,GRAY,NO,SLOUGH CREEK,YNP,1,1,0,12
31943-09,9,690F,1/16/2009,2008,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,768
31943-09,10,691F,1/16/2009,2008,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,512
31943-09,16,472F,2/21/2009,2008,FEMALE,BLACK,YES,AGATE CREEK,YNP,1,1,0,192
31943-09,21,715F,2/21/2009,2008,FEMALE,GRAY,NO,AGATE CREEK,YNP,0,1,0,1024
72438-14,19,925M,1/17/2014,NA,MALE,GRAY,ADULT,LAMAR CANYON,,1,1,0,6
72438-14,20,926F,1/17/2014,NA,FEMALE,BLACK,ADULT,LAMAR CANYON,,1,1,0,6
66418-08,18,043M,8/16/1996,1996,MALE,GRAY,YES,SODA BUTTE,YNP,0,1,1,6
66418-08,19,044F,8/16/1996,1996,FEMALE,BLACK,YES,SODA BUTTE,YNP,0,1,1,6
66418-08,107,221M,1/20/2001,2000,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,108,222M,1/20/2001,2000,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,109,224M,1/20/2001,2000,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,4,016F,10/9/1995,1995,FEMALE,BLACK,YES,ROSE,YNP,1,1,1,96
66418-08,6,017F,10/9/1995,1995,FEMALE,GRAY,YES,ROSE,YNP,1,1,1,384
66418-08,7,019F,10/9/1995,1995,FEMALE,BLACK,YES,ROSE,YNP,1,1,1,768
66418-08,8,021M,10/9/1995,1995,MALE,BLACK,YES,ROSE,YNP,1,1,1,384
66418-08,11,022M,10/9/1995,1995,MALE,BLACK,YES,ROSE,YNP,1,1,1,384
66418-08,101,216F,1/19/2001,2000,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,102,217F,1/19/2001,2000,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,104,218F,1/19/2001,2000,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,105,219M,1/19/2001,2000,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
65544-08,20,645F,2/15/2008,2007,FEMALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,8
82744-12,61,820F,2/4/2012,2011,Female,Gray,Pup,LAMAR CANYON,YNP,1,1,0,8
82744-12,73,832F,2/4/2012,2011,FEMALE,GRAY,Adult,LAMAR CANYON,YNP,1,1,0,256
NA,NA,489M,1/27/2005,2004,MALE,BLACK,NO,SLOUGH CREEK,YNP,1,1,0,6
NA,NA,490M,1/27/2005,2004,MALE,BLACK,NO,SLOUGH CREEK,YNP,1,1,0,12
66418-08,194,491M,1/27/2005,2004,MALE,GRAY,NO,SLOUGH CREEK,YNP,1,1,0,12
65544-08,13,638M,2/14/2008,2007,MALE,BLACK,NO,HAYDEN VALLEY,YNP,0,1,0,8
65544-08,14,639M,2/14/2008,2007,MALE,GRAY,NO,HAYDEN VALLEY,YNP,0,1,0,8
31943-09,18,712M,2/21/2009,2008,MALE,BLACK,NO,CANYON,YNP,1,1,0,512
66418-08,146,301M,2/12/2003,2002,MALE,BLACK,NO,255F'S GROUP,YNP,1,1,0,16
66418-08,147,302M,2/12/2003,2002,MALE,BLACK,NO,255F'S GROUP,YNP,1,1,0,12
66418-08,71,162M,1/18/2000,1999,MALE,GRAY,NO,ROSE,YNP,1,1,0,128
72438-14,16,755M,1/17/2014,NA,MALE,BLACK,ADULT,755M GROUP,,1,1,0,6
66418-08,106,220F,1/20/2001,2000,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,6
66418-08,155,348M,11/22/2003,2003,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,8
66418-08,156,349M,11/22/2003,2003,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,8
NA,NA,350M,11/22/2003,2003,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,12
66418-08,177,468M,1/17/2005,2004,MALE,GRAY,NO,LEOPOLD,YNP,1,1,0,24
66418-08,178,469F,1/17/2005,2004,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,12
141523-11,23,754M,2/4/2010,2009,MALE,BLACK,YEARLING,755M GROUP,YNP,1,1,0,512
141523-11,24,755M,2/4/2010,2009,MALE,BLACK,YEARLING,755M GROUP,YNP,1,1,0,8
66418-08,94,209F,1/17/2001,2000,FEMALE,BLACK,NO,LEOPOLD,YNP,1,1,0,64
66418-08,95,210M,1/17/2001,2000,MALE,BLACK,NO,LEOPOLD,YNP,1,1,0,6
66418-08,96,211M,1/17/2001,2000,MALE,GRAY,NO,LEOPOLD,YNP,1,1,0,8
NA,NA,209F,1/30/2007,2006,FEMALE,BLACK,YES,LEOPOLD,YNP,1,1,0,256
66417-08,13,591F,1/30/2007,2006,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,8
66417-08,14,592F,1/30/2007,2006,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,192
66417-08,15,593F,1/30/2007,2006,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,8
66418-08,134,286F,1/7/2003,2002,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,12
141523-11,12,776F,1/3/2011,2010,FEMALE,GRAY,PUP,LAMAR CANYON,YNP,1,1,0,12
82744-12,75,471F,2/21/2012,2011,FEMALE,Gray,OLD ADULT,AGATE CREEK,YNP,1,1,0,128
82744-12,76,838M,2/21/2012,2011,Male,Black,Adult,Agate Creek/Blacktail,YNP,1,1,0,256
66416-08,2,113M,1/19/2006,2005,MALE,GRAY,YES,AGATE CREEK,YNP,1,1,0,192
72438-14,4,871M,2/3/2013,NA,MALE,BLACK,ADULT,EIGHT MILE,,1,1,0,8
72438-14,6,SW763M,2/3/2013,NA,MALE,BLACK,ADULT,EIGHT MILE,,1,1,0,16
66418-08,121,251F,2/2/2002,2001,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,122,252M,2/2/2002,2001,MALE,GRAY,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,103,217FB,1/8/2003,2002,FEMALE,GRAY,MAYBE,SLOUGH CREEK,YNP,1,1,0,6
31943-09,12,693F,1/17/2009,2008,FEMALE,GRAY,NO,BLACKTAIL,YNP,1,1,0,3072
31943-09,11,692F,1/17/2009,2008,FEMALE,BLACK,NO,BLACKTAIL,YNP,1,1,0,768
66418-08,158,351M,11/23/2003,2003,MALE,GRAY,NO,GEODE CREEK,YNP,1,1,0,12
66418-08,64,150M,2/1/1999,1998,MALE,GRAY,NO,LEOPOLD,YNP,1,1,0,6
141523-11,25,642F,2/3/2010,2009,FEMALE,BLACK,ADULT,BLACKTAIL,YNP,1,1,0,192
141523-11,26,692F,2/3/2010,2009,FEMALE,BLACK,ADULT,BLACKTAIL,YNP,1,1,0,768
141523-11,27,693F,2/3/2010,2009,FEMALE,GRAY,ADULT,BLACKTAIL,YNP,1,1,0,2048
141523-11,28,752F,2/3/2010,2009,FEMALE,BLACK,PUP,BLACKTAIL,YNP,1,1,0,8
66418-08,162,354M,11/23/2003,2003,MALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,12
66418-08,163,355F,11/23/2003,2003,FEMALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,12
66418-08,164,356M,11/23/2003,2003,MALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,16
66418-08,93,208M,1/16/2001,2000,MALE,BLACK,NO,ROSE,YNP,1,1,0,512
66418-08,26,056M,1/5/1998,1997,MALE,BLACK,NO,LEOPOLD,YNP,1,1,0,6
66418-08,41,095F,1/5/1998,1997,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,6
66418-08,42,096F,1/5/1998,1997,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,6
66418-08,63,148F,1/13/1999,1998,FEMALE,BLACK,NO,LEOPOLD,YNP,1,1,0,6
66418-08,65,151F,1/13/1999,1998,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,6
66418-08,66,152F,1/13/1999,1998,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,6
66418-08,91,206M,1/8/2003,2002,MALE,GRAY,YES,SWAN LAKE,YNP,1,1,0,96
NA,NA,287M,1/7/2003,2002,MALE,BLACK,NO,LEOPOLD,YNP,1,1,0,12
66418-08,136,288F,1/7/2003,2002,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,6
66418-08,137,289M,1/7/2003,2002,MALE,BLACK,NO,LEOPOLD,YNP,1,1,0,12
66418-08,138,290F,1/7/2003,2002,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,12
66418-08,140,292M,1/8/2003,2002,MALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,12
66418-08,141,293F,1/8/2003,2002,FEMALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,12
66416-08,4,524F,1/19/2006,2005,FEMALE,GRAY,NO,AGATE CREEK,YNP,1,1,0,192
66418-08,159,352M,11/23/2003,2003,MALE,GRAY,NO,GEODE CREEK,YNP,1,1,0,12
66418-08,10,021M,2/2/2002,2001,MALE,BLACK,YES,DRUID PEAK,YNP,1,1,1,64
66418-08,123,253M,2/2/2002,2001,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,124,254M,2/2/2002,2001,MALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
66418-08,125,255F,2/2/2002,2001,FEMALE,BLACK,NO,DRUID PEAK,YNP,1,1,0,6
31943-09,23,525F,NA,2008,FEMALE,,,,,NA,NA,0,128
66416-08,6,526F,1/19/2006,2005,FEMALE,BLACK,NO,SLOUGH CREEK,YNP,1,1,0,512
66416-08,7,527F,1/19/2006,2005,FEMALE,BLACK,NO,SLOUGH CREEK,YNP,1,1,0,64
66418-08,1,005F,3/11/1998,1997,FEMALE,GRAY,YES,CRYSTAL,CANADA,0,1,1,192
72438-14,11,778M,12/13/2013,NA,MALE,GRAY,ADULT,BLACKTAIL,,1,1,0,96
72438-14,15,911M,12/13/2013,NA,MALE,GRAY,ADULT,BLACKTAIL,,1,1,0,8
66417-08,12,590M,1/30/2007,2006,MALE,BLACK,NO,AGATE CREEK,YNP,1,1,0,8
66416-08,1,523F,10/15/2005,2005,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,192
66418-08,98,213F,1/19/2001,2000,FEMALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,6
66418-08,99,214M,1/19/2001,2000,MALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,6
66418-08,100,215M,1/19/2001,2000,MALE,GRAY,NO,NEZ PERCE,YNP,0,1,0,6
