Cornell.Accession.Number,Cornell.ID,WolfID,Date.Capture.Death,Year.data.reflects,Sex,Pelt.Color,Recollared,Pack,Location.of.first.capture,Northern.Range.Pack,YNP,Previously.Vaccinated,CDV_simplified
66418-08,69,155F,1/30/1999,1998,FEMALE,BLACK,NO,ROSE,YNP,1,1,0,6
66416-08,9,287M,1/25/2006,2005,MALE,BLACK,YES,HELLROARING,YNP,1,1,0,256
66418-08,161,353F,1/25/2006,2005,FEMALE,BLACK,YES,HELLROARING,YNP,1,1,0,192
66416-08,10,353F,1/25/2006,2005,FEMALE,BLACK,YES,HELLROARING,YNP,1,1,0,128
66416-08,11,528M,1/25/2006,2005,MALE,GRAY,NO,HELLROARING,YNP,1,1,0,256
66418-08,68,154F,1/30/1999,1998,FEMALE,BLACK,NO,ROSE,YNP,1,1,0,6
66418-08,70,161M,1/30/1999,1998,MALE,GRAY,NO,ROSE,YNP,1,1,0,6
65544-08,2,625F,1/16/2008,2007,FEMALE,GRAY,NO,LEOPOLD,YNP,1,1,0,8
66418-08,181,473M,1/17/2005,2004,MALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,12
66418-08,5,016F,3/11/1998,1997,FEMALE,BLACK,YES,ROSE,YNP,1,1,1,96
31943-09,13,469F,1/18/2009,2008,FEMALE,GRAY,YES,QUADRANT,YNP,1,1,0,192
31943-09,15,695M,1/18/2009,2008,MALE,BLACK,NO,QUADRANT,YNP,1,1,0,192
66418-08,88,204M,1/16/2001,2000,MALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,384
66418-08,89,205M,1/16/2001,2000,MALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,128
66418-08,90,206M,1/16/2001,2000,MALE,GRAY,NO,SWAN LAKE,YNP,1,1,0,192
66418-08,97,212F,1/17/2001,2000,FEMALE,GRAY,NO,NEZ PERCE,YNP,1,1,0,12
NA,NA,483F,1/25/2005,2004,FEMALE,GRAY,NO,GEODE CREEK,YNP,1,1,0,6
