"","sex","birth.year","age","trap.date","cap.type","titer","UID"
"568","F",2011,0,2011-10-09,"MGT",4,"G176"
"569","F",2011,0,2011-10-10,"MGT",4,"G177"
"570","M",2010,1,2011-10-14,"MGT",4,"G178"
"571","M",2010,3,2013-09-05,"MGT",6,"G178"
"572","M",2010,1,2011-10-14,"MGT",4,"G179"
"573","M",2009,3,2012-06-18,"RES",4,"G180"
"574","F",2011,1,2012-08-15,"MGT",4,"G183"
"575","M",2009,3,2012-09-21,"MGT",4,"G187"
"576","M",2010,2,2012-10-01,"MGT",4,"G188"
"577","M",2012,1,2013-05-25,"MGT",4,"G189"
"578","F",2012,1,2013-05-25,"MGT",4,"G190"
"579","M",2010,3,2013-05-31,"RES",8,"G191"
"580","M",2011,2,2013-06-08,"MGT",4,"G192"
"581","M",2011,2,2013-10-14,"MGT",4,"G193"
"582","M",2013,1,2014-09-30,"MGT",4,"G198"
"583","F",2013,1,2014-09-30,"MGT",4,"G199"
"584","M",2013,1,2014-11-03,"MGT",4,"G200"
