"UID","left","right","TestR","Sex","Age","UTM_X","UTM_Y","NR_Bears"
"594","2008-08-23","2010-08-08","N","M",4,440000,4929000,0
"595","2005-03-15","2008-08-24","N","M",3,466000,4936000,1
"596","2004-03-15","2008-09-14","N","F",4,635000,4977000,1
"596","2008-09-14","2009-06-25","N","F",5,636000,4976000,1
"600","2007-03-15","2008-10-22","N","M",1,518000,4987000,1
"600","2008-10-22","2012-07-21","N","M",5,501000,4999000,1
"601","2007-03-15","2008-10-22","N","F",1,518000,4987000,1
"602","2007-03-15","2008-10-22","N","F",1,518000,4987000,1
"603","2003-03-15","2009-04-30","N","M",6,630000,4832000,0
"603","2009-04-30","2010-08-15","N","M",7,630000,4832000,0
"604","2002-03-15","2009-05-17","N","M",7,611000,4949000,1
"605","2005-03-15","2009-05-15","P","F",4,612000,4950000,1
"606","2002-03-15","2009-05-19","N","M",7,611000,4949000,1
"607","1999-03-15","2009-05-20","N","M",10,604000,4946000,1
"608","1996-03-15","2009-06-09","N","M",13,608000,4973000,1
"609","2004-03-15","2009-06-13","P","M",5,548000,4962000,1
"610","2006-03-15","2014-08-06","N","F",8,540000,4856000,0
"611","2000-03-15","2011-08-20","N","M",11,503000,4875000,0
"616","1993-03-15","2009-07-29","P","F",16,548000,4935000,1
"618","2006-03-15","2009-08-13","N","M",3,543000,5011000,1
"618","2009-08-13","2010-09-12","N","M",4,550000,4984000,1
"619","2006-03-15","2009-08-20","P","M",3,467000,4937000,1
"621","1992-03-15","2009-08-26","N","M",17,454000,4907000,0
"622","2006-03-15","2009-09-11","N","M",3,645000,4843000,0
"623","2003-03-15","2009-09-11","N","M",6,645000,4843000,0
"623","2009-09-11","2011-07-26","N","M",8,660000,4838000,0
"624","1999-03-15","2009-09-14","N","M",10,644000,4842000,0
"626","2003-03-15","2009-09-19","N","F",6,644000,4842000,0
"627","2002-03-15","2009-09-23","N","F",7,526000,4885000,0
"628","2004-03-15","2009-10-12","N","F",5,638000,4920000,0
"628","2009-10-12","2010-06-17","N","F",6,590000,4921000,0
"628","2010-06-17","2010-10-02","N","F",6,638000,4919000,0
"629","1978-03-15","2009-10-12","P","M",31,584000,4927000,0
"631","2004-03-15","2009-10-14","N","F",5,631000,4912000,0
"632","2005-03-15","2009-10-30","N","M",4,627000,4908000,0
"633","2003-03-15","2009-11-03","N","M",6,530000,5022000,1
"634","1990-03-15","2010-04-24","N","M",20,646000,4885000,0
"635","2000-03-15","2010-04-24","N","M",10,646000,4885000,0
"636","2006-03-15","2011-08-28","P","M",5,576000,4802000,0
"638","1999-03-15","2010-05-08","N","M",11,630000,4832000,0
"639","1994-03-15","2010-05-11","P","M",16,608000,4918000,0
"640","1995-03-15","2010-05-14","P","M",15,608000,4920000,0
"641","1995-03-15","2010-05-16","N","M",15,586000,4927000,0
"642","2006-03-15","2009-05-15","N","M",3,615000,4951000,1
"642","2009-05-15","2010-05-18","N","M",4,642000,4960000,1
"642","2010-05-18","2012-04-18","N","M",6,642000,4960000,1
"643","1997-03-15","2010-05-18","N","M",13,586000,4927000,0
"644","1998-03-15","2010-06-11","N","M",12,586000,4926000,0
"644","2010-06-11","2014-05-15","N","M",16,586000,4926000,0
"645","1997-03-15","2010-06-15","N","F",13,581000,4929000,0
"646","1997-03-15","2010-06-17","P","M",13,589000,4921000,0
"648","2000-03-15","2012-07-12","N","M",12,554000,4838000,0
"649","2003-03-15","2010-07-24","N","M",7,664000,4900000,0
"650","2005-03-15","2010-08-09","N","F",5,579000,4815000,0
"650","2010-08-09","2012-07-28","N","F",7,585000,4811000,0
"651","1999-03-15","2010-08-15","N","M",11,612000,4953000,1
"653","2008-03-15","2010-08-22","N","M",2,467000,4937000,1
"653","2010-08-22","2012-07-09","N","M",4,471000,4908000,0
"654","1994-03-15","2010-08-23","P","F",16,612000,4952000,1
"655","2007-03-15","2010-08-24","N","M",3,467000,4937000,1
"655","2010-08-24","2014-08-03","N","M",7,446000,4970000,1
"656","2007-03-15","2010-08-27","N","M",3,637000,4941000,1
"657","2007-03-15","2010-09-10","N","M",3,661000,4950000,1
"658","2005-03-15","2010-09-11","N","F",5,637000,4940000,1
"658","2010-09-11","2012-10-26","N","F",7,585000,4833000,0
"659","1998-03-15","2011-06-24","P","M",13,540000,4856000,0
"660","2004-03-15","2010-09-17","N","F",6,631000,4913000,0
"661","2001-03-15","2010-09-18","N","F",9,551000,4984000,1
"662","1999-03-15","2010-10-01","P","F",10,557000,4971000,1
"663","2004-03-15","2010-10-02","N","F",6,557000,4971000,1
"664","1999-03-15","2010-10-03","N","M",11,621000,4906000,0
"665","2002-03-15","2010-10-05","N","F",8,518000,4991000,1
"666","2002-03-15","2010-10-16","N","F",8,623000,4924000,0
"669","2007-03-15","2009-10-02","N","M",2,541000,4857000,0
"670","2004-03-15","2009-06-04","N","M",5,593000,4978000,1
"670","2009-06-04","2011-05-11","N","M",7,597000,4976000,1
"670","2011-05-11","2012-08-17","N","M",8,579000,4810000,0
"671","1997-03-15","2009-06-15","N","M",12,593000,4978000,1
"671","2009-06-15","2011-05-12","P","M",14,597000,4976000,1
"672","2008-03-15","2011-05-14","N","F",3,639000,4972000,1
"673","1999-03-15","2011-06-10","N","M",12,459000,4971000,1
"674","2003-03-15","2011-06-18","N","M",8,540000,4856000,0
"674","2011-06-18","2012-06-27","N","M",9,562000,4843000,0
"675","1996-03-15","2011-06-27","N","M",15,640000,4877000,0
"676","2010-03-15","2011-07-03","N","F",1,582000,4777000,0
"676","2011-07-03","2014-07-26","N","F",4,576000,4789000,0
"677","2005-03-15","2007-05-16","N","M",2,504000,4999000,1
"677","2007-05-16","2011-07-07","N","M",6,456000,4971000,1
"678","2005-03-15","2011-07-09","P","F",6,562000,4846000,0
"679","2004-03-15","2007-05-07","N","M",3,512000,4933000,0
"679","2007-05-07","2009-10-04","N","M",5,541000,4857000,0
"679","2009-10-04","2011-07-13","N","M",7,525000,4876000,0
"679","2011-07-13","2014-07-22","N","M",10,532000,4858000,0
"681","2006-03-15","2011-07-26","P","M",5,474000,4998000,1
"682","2008-03-15","2011-07-29","P","M",3,643000,4719000,0
"683","2005-03-15","2011-08-04","P","M",6,472000,4987000,1
"684","1993-03-15","2011-08-11","N","M",18,490000,4884000,0
"685","2006-03-15","2011-08-15","N","M",5,641000,4828000,0
"686","2005-03-15","2011-08-18","P","F",6,474000,4988000,1
"687","2000-03-15","2011-08-18","N","M",11,503000,4875000,0
"688","2010-03-15","2011-09-21","N","M",1,538000,4927000,0
"689","2010-03-15","2011-09-22","N","M",1,541000,4949000,1
"690","2009-03-15","2011-09-23","N","F",2,619000,4924000,0
"691","2010-03-15","2011-10-01","N","M",1,642000,4999000,1
"691","2011-10-01","2012-06-22","N","M",2,644000,5010000,1
"692","2008-03-15","2011-10-04","N","F",3,621000,4906000,0
"693","2004-03-15","2011-10-04","P","F",7,533000,4941000,1
"694","2008-03-15","2011-10-07","N","F",3,643000,4978000,1
"695","2007-03-15","2011-10-28","N","M",4,513000,4941000,1
"696","1999-03-15","2009-05-21","N","M",10,615000,4951000,1
"696","2009-05-21","2011-11-04","N","M",12,642000,4959000,1
"697","2003-03-15","2012-03-21","N","M",9,620000,4904000,0
"698","1992-03-15","2012-04-08","P","M",20,546000,4855000,0
"699","2000-03-15","2012-04-15","N","M",12,657000,4872000,0
"700","2003-03-15","2012-05-03","N","M",9,667000,4856000,0
"701","2007-03-15","2011-07-18","N","M",4,559000,4837000,0
"701","2011-07-18","2012-05-04","N","M",5,597000,4835000,0
"702","2010-03-15","2012-05-08","N","F",2,547000,4851000,0
"703","2006-03-15","2012-05-11","N","F",6,674000,4857000,0
"703","2012-05-11","2013-10-01","N","F",7,674000,4855000,0
"704","2008-03-15","2012-05-17","N","M",4,640000,4957000,1
"705","2008-03-15","2012-05-19","N","M",4,667000,4856000,0
"706","2003-03-15","2012-05-25","N","F",9,471000,4901000,0
"706","2012-05-25","2012-06-25","N","F",9,473000,4902000,0
"707","2007-03-15","2012-05-30","N","F",5,556000,4824000,0
"708","2006-03-15","2012-06-06","N","F",6,456000,4971000,1
"710","2009-03-15","2012-06-16","N","M",3,653000,4913000,0
"711","1999-03-15","2012-06-25","N","M",13,476000,4893000,0
"711","2012-06-25","2014-07-24","N","M",15,468000,4908000,0
"712","2006-03-15","2012-06-25","N","M",6,613000,4949000,1
"713","2009-03-15","2012-06-28","N","M",3,473000,4902000,0
"713","2012-06-28","2014-07-01","N","M",5,468000,4908000,0
"714","2002-03-15","2013-07-08","N","F",11,577000,4808000,0
"715","1997-03-15","2012-07-06","N","M",15,473000,4902000,0
"716","2005-03-15","2012-07-08","N","F",7,584000,4791000,0
"717","2008-03-15","2012-07-10","N","M",4,585000,4829000,0
"717","2012-07-10","2013-09-14","N","M",5,583000,4805000,0
"718","2005-03-15","2012-07-12","N","F",7,572000,4844000,0
"719","2007-03-15","2012-07-17","N","M",5,582000,4807000,0
"720","2004-03-15","2012-07-20","P","F",8,501000,4999000,1
"721","2006-03-15","2012-07-22","N","F",6,501000,4999000,1
"724","2005-03-15","2012-08-14","N","F",7,641000,4966000,1
"725","2005-03-15","2012-08-15","N","F",7,639000,4963000,1
"726","2007-03-15","2012-08-16","P","M",5,467000,4937000,1
"727","1999-03-15","2012-08-18","P","M",13,467000,4937000,1
"728","2009-03-15","2012-08-23","N","F",3,467000,4937000,1
"729","2002-03-15","2012-08-23","P","M",10,559000,4817000,0
"730","2007-03-15","2012-08-24","P","M",5,449000,4913000,0
"731","2010-03-15","2012-09-09","N","M",2,586000,4795000,0
"731","2012-09-09","2014-08-27","P","M",4,584000,4792000,0
"732","2004-03-15","2012-09-10","N","F",8,559000,4855000,0
"733","2008-03-15","2012-09-17","P","M",4,548000,4722000,0
"734","2003-03-15","2012-09-21","N","F",9,619000,4904000,0
"735","2012-03-15","2012-09-17","P","F",0.5,639000,5000000,1
"736","2004-03-15","2012-10-01","P","M",8,513000,4941000,1
"737","2009-03-15","2012-10-10","N","M",3,621000,4923000,0
"738","2001-03-15","2012-10-19","N","M",11,617000,4928000,0
"739","2010-03-15","2012-10-28","N","F",2,638000,4916000,0
"740","2006-03-15","2013-05-06","N","M",7,638000,4916000,0
"741","2009-03-15","2013-05-22","N","F",4,607000,4835000,0
"742","2009-03-15","2013-05-24","N","M",4,644000,4966000,1
"743","2003-03-15","2013-05-25","N","F",10,677000,4901000,0
"744","2008-03-15","2013-05-26","N","M",5,607000,4835000,0
"745","2010-03-15","2013-05-31","P","M",3,644000,4966000,1
"747","2010-03-15","2013-06-04","N","F",3,593000,4835000,0
"748","2010-03-15","2013-06-07","N","M",3,598000,4922000,0
"749","2009-03-15","2013-06-12","N","F",4,518000,4987000,1
"750","2007-03-15","2013-06-19","N","M",6,563000,4937000,1
"751","2009-03-15","2013-06-21","N","M",4,563000,4937000,1
"752","2010-03-15","2013-06-23","N","M",3,576000,4816000,0
"753","2010-03-15","2013-06-24","N","M",3,563000,4937000,1
"754","2004-03-15","2013-06-25","N","M",9,582000,4813000,0
"755","2011-03-15","2013-06-25","N","F",2,581000,4811000,0
"756","2007-03-15","2013-06-30","N","M",6,577000,4810000,0
"756","2013-06-30","2014-07-23","P","M",7,570000,4803000,0
"758","2008-03-15","2013-07-21","N","M",5,473000,4997000,1
"759","2008-03-15","2013-07-23","N","F",5,474000,4994000,1
"760","2010-03-15","2013-07-29","N","M",3,524000,4872000,0
"760","2013-07-29","2014-06-25","N","M",3,540000,4856000,0
"761","2008-03-15","2013-08-01","N","M",5,473000,4988000,1
"761","2013-08-01","2014-06-11","N","M",6,458000,4971000,1
"762","2007-03-15","2013-08-06","N","F",6,473000,4988000,1
"763","2003-03-15","2013-08-14","N","M",10,466000,4937000,1
"764","2001-03-15","2013-09-01","N","M",12,575000,4885000,0
"765","2001-03-15","2011-08-18","N","M",10,641000,4828000,0
"765","2011-08-18","2013-09-10","N","M",12,656000,4837000,0
"766","2004-03-15","2013-09-18","N","M",9,556000,4971000,1
"767","2011-03-15","2013-09-23","N","F",2,626000,4828000,0
"768","2006-03-15","2013-09-27","N","F",7,582000,4928000,0
"769","2009-03-15","2013-09-28","N","M",4,516000,4974000,1
"770","2006-03-15","2013-10-10","N","F",7,469000,4881000,0
"771","2009-03-15","2013-10-09","N","F",4,641000,4958000,1
"781","2006-03-15","2009-06-11","N","M",3,616000,4965000,1
"785","2002-03-15","2014-07-28","P","M",12,581000,4811000,0
"787","2013-03-15","2014-08-08","N","M",1,585000,4810000,0
"797","2007-03-15","2010-08-08","N","M",3,577000,4806000,0
"797","2010-08-08","2014-10-04","N","M",7,583000,4804000,0
"84","1971-03-15","1984-05-24","P","M",22,515000,4935000,1
"G087","1996-03-15","2003-05-16","N","M",7,534000,4863000,0
"G096","2001-03-15","2004-09-07","N","F",3,570000,4974000,1
"G112","2004-03-15","2014-08-02","N","M",10,655000,4837000,0
"G115","2004-03-15","2007-05-08","N","M",3,515000,4931000,0
"G120","2001-03-15","2011-09-20","N","M",10,588000,4831000,0
"G129","2003-03-15","2008-08-09","N","M",5,571000,4801000,0
"G131","2007-03-15","2012-09-16","N","F",5,639000,5000000,1
"G135","1995-03-15","2009-05-12","N","M",14,554000,4855000,0
