"","UID","sex","left","right","TestR"
"253","400","M",2001-08-30,2008-08-23,"P"
"146","401","M",1993-04-15,2001-09-01,"N"
"254","401","M",2001-09-02,2002-09-11,"N"
"313","401","M",2002-09-12,2005-09-12,"N"
"147","402","F",1997-04-15,2001-10-02,"N"
"255","402","F",2001-10-03,2002-09-09,"N"
"148","416","F",1997-04-15,2002-08-07,"N"
"256","416","F",2002-08-08,2011-08-07,"P"
"149","419","M",2001-04-15,2002-09-05,"N"
"258","419","M",2002-09-06,2005-06-15,"N"
"150","434","M",2002-04-15,2008-07-08,"N"
"259","434","M",2008-07-09,2009-06-28,"P"
"152","441","M",2000-04-15,2003-08-09,"N"
"260","441","M",2003-08-10,2004-10-09,"N"
"153","448","F",2002-04-15,2003-09-19,"N"
"261","448","F",2003-09-20,2004-10-06,"N"
"321","448","F",2004-10-07,2005-09-25,"P"
"154","460","M",2002-04-15,2004-08-11,"N"
"265","460","M",2004-08-12,2005-09-13,"N"
"155","461","F",1991-04-15,2004-08-13,"P"
"156","474","F",1997-04-15,2004-09-25,"N"
"266","474","F",2004-09-26,2005-07-06,"N"
"322","474","F",2005-07-07,2005-09-28,"N"
"157","479","M",1990-04-15,2004-10-06,"N"
"267","479","M",2004-10-07,2012-06-07,"P"
"158","480","M",1996-04-15,2004-10-08,"N"
"268","480","M",2004-10-09,2005-09-25,"N"
"159","492","F",2004-04-15,2007-10-13,"N"
"269","492","F",2007-10-14,2008-07-18,"N"
"165","493","M",1997-04-15,2005-07-06,"N"
"276","493","M",2005-07-07,2010-08-26,"P"
"166","502","F",2002-04-15,2005-08-19,"N"
"277","502","F",2005-08-20,2007-08-18,"N"
"167","507","F",2003-04-15,2005-08-25,"N"
"285","507","F",2005-08-26,2007-08-01,"N"
"168","512","M",1995-04-15,2005-09-13,"P"
"175","515","M",1992-04-15,2005-09-28,"P"
"176","524","M",2000-04-15,2011-08-29,"N"
"286","524","M",2011-08-30,2012-09-13,"N"
"177","526","M",2003-04-15,2006-06-22,"P"
"178","529","M",2005-04-15,2006-07-17,"N"
"288","529","M",2006-07-18,2007-08-02,"N"
"182","533","F",1992-04-15,2006-07-29,"P"
"183","539","F",2004-04-15,2006-08-29,"N"
"289","539","F",2006-08-30,2007-06-27,"N"
"326","539","F",2007-06-28,2007-08-19,"N"
"184","541","F",1995-04-15,2006-09-22,"P"
"185","550","M",2003-04-15,2009-06-01,"N"
"290","550","M",2009-06-02,2010-09-07,"N"
"186","563","M",1992-04-15,2007-08-26,"N"
"293","563","M",2007-08-27,2008-08-24,"N"
"187","566","M",2004-04-15,2010-10-15,"N"
"294","566","M",2010-10-16,2011-10-30,"N"
"327","566","M",2011-10-31,2013-07-08,"N"
"188","569","F",2003-04-15,2009-10-02,"N"
"2100","569","F",2009-10-03,2010-10-17,"N"
"189","578","M",2004-04-15,2007-10-25,"P"
"194","586","M",2005-04-15,2008-06-19,"N"
"2101","586","M",2008-06-20,2011-08-15,"P"
"195","589","M",2002-04-15,2008-07-28,"P"
"196","596","F",2004-04-15,2008-09-14,"N"
"2102","596","F",2008-09-15,2009-06-25,"N"
"197","603","M",2003-04-15,2009-04-30,"N"
"2103","603","M",2009-05-01,2010-08-15,"N"
"1100","618","M",2006-04-15,2009-08-13,"N"
"2104","618","M",2009-08-14,2010-09-21,"N"
"1101","623","M",2003-04-15,2009-09-11,"N"
"2105","623","M",2009-09-12,2011-07-26,"N"
"1102","628","F",2004-04-15,2010-06-17,"N"
"2106","628","F",2010-06-18,2010-10-02,"N"
"1103","642","M",2006-04-15,2009-05-15,"N"
"2107","642","M",2009-05-16,2010-05-18,"N"
"337","642","M",2010-05-19,2012-04-18,"N"
"1104","644","M",1998-04-15,2010-06-11,"N"
"2108","644","M",2010-06-12,2014-05-15,"N"
"1105","650","F",2005-04-15,2010-08-09,"N"
"2109","650","F",2010-08-10,2012-07-28,"N"
"1106","653","M",2008-04-15,2010-08-22,"N"
"2110","653","M",2010-08-23,2012-07-09,"N"
"1107","655","M",2007-04-15,2010-08-24,"N"
"2111","655","M",2010-08-25,2014-08-03,"N"
"1108","658","F",2005-04-15,2010-09-11,"N"
"2112","658","F",2010-09-12,2012-10-26,"N"
"1109","670","M",2004-04-15,2009-06-04,"N"
"2113","670","M",2009-06-05,2011-05-11,"N"
"338","670","M",2011-05-12,2012-08-17,"N"
"1110","671","M",1997-04-15,2009-06-15,"N"
"2114","671","M",2009-06-16,2011-05-12,"P"
"1111","674","M",2003-04-15,2011-06-18,"N"
"2115","674","M",2011-06-19,2012-06-27,"N"
"1112","676","F",2010-04-15,2011-07-03,"N"
"2116","676","F",2011-07-04,2014-07-26,"N"
"1113","679","M",2004-04-15,2009-10-04,"N"
"2117","679","M",2009-10-05,2011-07-13,"N"
"1114","682","M",2008-04-15,2011-07-29,"P"
"1115","691","M",2010-04-15,2011-10-01,"N"
"2118","691","M",2011-10-02,2012-06-22,"N"
"1116","696","M",1999-04-15,2009-05-21,"N"
"2119","696","M",2009-05-22,2011-11-04,"N"
"1117","701","M",2007-04-15,2011-07-18,"N"
"2120","701","M",2011-07-19,2012-05-04,"N"
"1118","703","F",2006-04-15,2012-05-11,"N"
"2121","703","F",2012-05-12,2013-10-01,"N"
"1119","711","M",1999-04-15,2012-06-25,"N"
"2122","711","M",2012-06-26,2014-07-24,"N"
"1120","713","M",2009-04-15,2012-06-28,"N"
"2123","713","M",2012-06-29,2014-07-01,"N"
"1121","717","M",2008-04-15,2012-07-10,"N"
"2124","717","M",2012-07-11,2013-09-14,"N"
"1122","729","M",2002-04-15,2012-08-23,"P"
"1123","731","M",2010-04-15,2012-09-09,"N"
"2125","731","M",2012-09-10,2014-08-27,"P"
"1124","756","M",2007-04-15,2013-06-30,"N"
"2126","756","M",2013-07-01,2014-07-23,"P"
"1125","760","M",2010-04-15,2013-07-29,"N"
"2127","760","M",2013-07-30,2014-06-25,"N"
"1126","761","M",2008-04-15,2013-08-01,"N"
"2128","761","M",2013-08-02,2014-06-11,"N"
"1127","765","M",2001-04-15,2011-08-18,"N"
"2129","765","M",2011-08-19,2013-09-10,"N"
"1128","797","M",2007-04-15,2010-08-08,"N"
"2130","797","M",2010-08-09,2014-10-04,"N"
"1129","G152","F",2006-04-15,2010-05-19,"N"
"2131","G152","F",2010-05-20,2011-07-27,"N"
"1130","G155","M",2008-04-15,2010-07-30,"N"
"2132","G155","M",2010-07-31,2013-06-02,"N"
"1131","G174","M",2010-04-15,2011-09-01,"N"
"2133","G174","M",2011-09-02,2012-09-07,"N"
"1132","G178","M",2010-04-15,2011-10-14,"N"
"2134","G178","M",2011-10-15,2013-09-05,"N"
