"","UID","trap.date","sex","titer","birth.year","age","spp"
"551","G154",2010-08-19,"F",4,2007,3,"bear"
"552","G155",2010-07-30,"M",4,2008,2,"bear"
"553","G155",2013-06-02,"M",4,2008,5,"bear"
"554","G156",2010-08-03,"M",8,2009,1,"bear"
"555","G157",2010-08-03,"M",4,2009,1,"bear"
"556","G162",2010-09-17,"F",4,2009,1,"bear"
"557","G163",2010-09-17,"F",4,2009,1,"bear"
"558","G164",2010-09-25,"M",4,2009,1,"bear"
"559","G165",2010-10-05,"M",8,2010,0,"bear"
"600","G166",2010-10-05,"M",8,2010,0.5,"bear"
"560","G167",2010-11-04,"M",4,2009,1,"bear"
"561","G168",2011-06-20,"M",6,2006,5,"bear"
"562","G169",2011-06-21,"M",4,2007,4,"bear"
"563","G170",2011-06-26,"M",4,2006,5,"bear"
"564","G173",2011-08-24,"M",4,2009,2,"bear"
"565","G174",2011-09-01,"M",4,2010,1,"bear"
"566","G174",2012-09-07,"M",4,2010,2,"bear"
"567","G175",2011-10-09,"F",4,2011,0,"bear"
"568","G176",2011-10-09,"F",4,2011,0,"bear"
"569","G177",2011-10-10,"F",4,2011,0,"bear"
"570","G178",2011-10-14,"M",4,2010,1,"bear"
"571","G178",2013-09-05,"M",6,2010,3,"bear"
"572","G179",2011-10-14,"M",4,2010,1,"bear"
"573","G180",2012-06-18,"M",4,2009,3,"bear"
"574","G183",2012-08-15,"F",4,2011,1,"bear"
"575","G187",2012-09-21,"M",4,2009,3,"bear"
"576","G188",2012-10-01,"M",4,2010,2,"bear"
"577","G189",2013-05-25,"M",4,2012,1,"bear"
"578","G190",2013-05-25,"F",4,2012,1,"bear"
"579","G191",2013-05-31,"M",8,2010,3,"bear"
"580","G192",2013-06-08,"M",4,2011,2,"bear"
"581","G193",2013-10-14,"M",4,2011,2,"bear"
"582","G198",2014-09-30,"M",4,2013,1,"bear"
"583","G199",2014-09-30,"F",4,2013,1,"bear"
"584","G200",2014-11-03,"M",4,2013,1,"bear"
